March 20, 2023 at 09:38AM,Willy,CHARGING,Willy is charging and will start again at 17:50.
March 20, 2023 at 09:38AM,Willy,PARKED_ACCORDING_TO_WEEK_SCHEDULE,Willy is parked and will start mowing on Tuesday at 10:00.
March 20, 2023 at 08:33PM,Willy,PARKED_OVERRIDING_SCHEDULE,Willy is parked and will start mowing on Tuesday at 10:00.
March 21, 2023 at 12:03AM,Willy,PARKED_ACCORDING_TO_WEEK_SCHEDULE,Willy is parked and will start mowing at 10:00.
March 21, 2023 at 02:00AM,Willy,LEAVING,Willy is on its way to cut your grass.
March 21, 2023 at 02:04AM,Willy,MOWING_PRIMARY_AREA_ACCORDING_TO_SCHEDULE,Willy is mowing your lawn according to schedule.
March 21, 2023 at 03:06AM,Willy,GOING_HOME,Willy is returning to its charging station.
March 21, 2023 at 03:48AM,Willy,CHARGING,Willy is charging and will start again at 12:26.
March 21, 2023 at 04:18AM,Willy,LEAVING,Willy is on its way to cut your grass.
March 21, 2023 at 04:21AM,Willy,MOWING_PRIMARY_AREA_ACCORDING_TO_SCHEDULE,Willy is mowing your lawn according to schedule.
March 21, 2023 at 05:31AM,Willy,GOING_HOME,Willy is returning to its charging station.
March 21, 2023 at 05:53AM,Willy,CHARGING,Willy is charging and will start again at 14:29.
March 21, 2023 at 06:21AM,Willy,LEAVING,Willy is on its way to cut your grass.
March 21, 2023 at 06:24AM,Willy,MOWING_PRIMARY_AREA_ACCORDING_TO_SCHEDULE,Willy is mowing your lawn according to schedule.
March 21, 2023 at 07:35AM,Willy,GOING_HOME,Willy is returning to its charging station.
March 21, 2023 at 08:14AM,Willy,CHARGING,Willy is charging and will start again at 16:55.
March 21, 2023 at 08:14AM,Willy,PARKED_ACCORDING_TO_WEEK_SCHEDULE,Willy is parked and will start mowing on Wednesday at 10:00.
March 21, 2023 at 08:56AM,Willy,PARKED_OVERRIDING_SCHEDULE,Willy is parked and will start mowing on Wednesday at 10:00.
March 21, 2023 at 08:21PM,Willy,CHARGING,Willy is charging and will start again in less than 20 minutes.
March 21, 2023 at 08:21PM,Willy,PARKED_OVERRIDING_SCHEDULE,Willy is parked and will start mowing on Wednesday at 10:00.
March 22, 2023 at 12:22AM,Willy,CHARGING,Willy is charging and will start again in less than 10 minutes.
March 22, 2023 at 12:22AM,Willy,PARKED_OVERRIDING_SCHEDULE,Willy is parked and will start mowing at 10:00.
March 22, 2023 at 10:00AM,Willy,LEAVING,Willy is on its way to cut your grass.
March 22, 2023 at 10:03AM,Willy,MOWING_PRIMARY_AREA_ACCORDING_TO_SCHEDULE,Willy is mowing your lawn according to schedule.
March 22, 2023 at 10:05AM,Willy,GOING_HOME,Willy is returning to its charging station.
March 22, 2023 at 10:13AM,Willy,CHARGING,Willy is charging and will start again in less than 20 minutes.
March 22, 2023 at 10:13AM,Willy,PARKED_OVERRIDING_SCHEDULE,Willy is parked and will start mowing at 10:06.
March 22, 2023 at 06:07PM,Willy,CHARGING,Willy is charging and will start again in less than a minute.
March 22, 2023 at 06:07PM,Willy,PARKED_OVERRIDING_SCHEDULE,Willy is parked and will start mowing on Sunday at 10:00.
March 22, 2023 at 08:09PM,Willy,CHARGING,Willy is charging and will start again in less than 20 minutes.
March 22, 2023 at 08:09PM,Willy,PARKED_OVERRIDING_SCHEDULE,Willy is parked and will start mowing on Sunday at 10:00.
March 23, 2023 at 02:11AM,Willy,CHARGING,Willy is charging and will start again in less than 10 minutes.
March 23, 2023 at 02:11AM,Willy,PARKED_OVERRIDING_SCHEDULE,Willy is parked and will start mowing on Monday at 10:00.
March 23, 2023 at 12:14PM,Willy,CHARGING,Willy is charging and will start again in less than 20 minutes.
March 23, 2023 at 12:14PM,Willy,PARKED_OVERRIDING_SCHEDULE,Willy is parked and will start mowing on Monday at 10:00.
March 24, 2023 at 12:18AM,Willy,CHARGING,Willy is charging and will start again in less than 20 minutes.
March 24, 2023 at 12:18AM,Willy,PARKED_OVERRIDING_SCHEDULE,Willy is parked and will start mowing on Monday at 10:00.
March 24, 2023 at 04:38PM,Willy,CHARGING,Willy is charging and will start again in less than 20 minutes.
March 24, 2023 at 04:38PM,Willy,PARKED_OVERRIDING_SCHEDULE,Willy is parked and will start mowing on Monday at 10:00.
March 25, 2023 at 02:46PM,Willy,CHARGING,Willy is charging and will start again in less than 10 minutes.
March 25, 2023 at 02:46PM,Willy,PARKED_OVERRIDING_SCHEDULE,Willy is parked and will start mowing on Monday at 10:00.
March 25, 2023 at 10:48PM,Willy,CHARGING,Willy is charging and will start again in less than 10 minutes.
March 25, 2023 at 10:48PM,Willy,PARKED_OVERRIDING_SCHEDULE,Willy is parked and will start mowing on Monday at 10:00.
March 27, 2023 at 07:59AM,Willy,CHARGING,Willy is charging and will start again in less than a minute.
March 27, 2023 at 07:59AM,Willy,PARKED_OVERRIDING_SCHEDULE,Willy is parked and will start mowing in 2 hours.
March 27, 2023 at 11:00AM,Willy,LEAVING,Willy is on its way to cut your grass.
March 27, 2023 at 11:03AM,Willy,MOWING_PRIMARY_AREA_ACCORDING_TO_SCHEDULE,Willy is mowing your lawn according to schedule.
March 27, 2023 at 12:12PM,Willy,GOING_HOME,Willy is returning to its charging station.
March 27, 2023 at 12:52PM,Willy,MOWING_PRIMARY_AREA_ACCORDING_TO_SCHEDULE,Willy is mowing your lawn according to schedule.
March 27, 2023 at 01:49PM,Willy,GOING_HOME,Willy is returning to its charging station.
March 27, 2023 at 02:11PM,Willy,CHARGING,Willy is charging and will start again in less than a minute.
March 27, 2023 at 02:38PM,Willy,LEAVING,Willy is on its way to cut your grass.
March 27, 2023 at 02:42PM,Willy,MOWING_PRIMARY_AREA_ACCORDING_TO_SCHEDULE,Willy is mowing your lawn according to schedule.
March 27, 2023 at 03:53PM,Willy,GOING_HOME,Willy is returning to its charging station.
March 27, 2023 at 04:24PM,Willy,CHARGING,Willy is charging and will start again in less than a minute.
March 27, 2023 at 04:47PM,Willy,PARKED_DUE_TO_WEATHER_TIMER,Willy has been parked by the weather timer feature and will start to mow again at 10:00.
March 27, 2023 at 04:59PM,Willy,PARKED_ACCORDING_TO_WEEK_SCHEDULE,Willy is parked and will start mowing at 10:00.
March 27, 2023 at 05:42PM,Willy,LEAVING,Willy is on its way to cut your grass.
March 28, 2023 at 10:27AM,Willy,DISCONNECTED,Willy has lost its connection. Either this is temporary and your mower will reconnect automatically or your mower has been switched off.
March 31, 2023 at 09:09PM,Willy,MOWING_PRIMARY_AREA_ACCORDING_TO_SCHEDULE,Willy is mowing your lawn according to schedule.
March 31, 2023 at 09:10PM,Willy,CHARGING,Willy is charging and will start again in less than a minute.
March 31, 2023 at 09:18PM,Willy,PARKED_ACCORDING_TO_WEEK_SCHEDULE,Willy is parked and will start mowing on Saturday at 10:00.
April 1, 2023 at 05:17AM,Willy,CHARGING,Willy is charging and will start again in less than a minute.
April 1, 2023 at 05:17AM,Willy,PARKED_ACCORDING_TO_WEEK_SCHEDULE,Willy is parked and will start mowing in 5 hours.
April 1, 2023 at 09:09AM,Willy,PARKED_UNTIL_FURTHER_NOTICE,Willy is parked until further notice.
April 1, 2023 at 10:44AM,Willy,GOING_HOME,Willy is returning to its charging station.
April 1, 2023 at 10:46AM,Willy,PARKED_ACCORDING_TO_WEEK_SCHEDULE,Willy is parked and will start mowing in less than a minute.
April 1, 2023 at 10:50AM,Willy,LEAVING,Willy is on its way to cut your grass.
April 1, 2023 at 10:52AM,Willy,MOWING_SECONDARY_AREA,Willy is mowing your secondary area.
April 1, 2023 at 11:00AM,Willy,PAUSED,Willy is currently paused.
April 1, 2023 at 11:01AM,Willy,GOING_HOME,Willy is returning to its charging station.
April 1, 2023 at 11:06AM,Willy,PARKED_UNTIL_FURTHER_NOTICE,Willy is parked until further notice.
April 1, 2023 at 11:06AM,Willy,PARKED_UNTIL_FURTHER_NOTICE,Willy is parked until further notice.
April 1, 2023 at 11:07AM,Willy,CHARGING,Willy is charging and will start again in less than a minute.
April 1, 2023 at 11:16AM,Willy,LEAVING,Willy is on its way to cut your grass.
April 1, 2023 at 11:20AM,Willy,MOWING_MISSION_AREA_OVERRIDING_SCHEDULE,Willy is mowing in Fond du jardin (balançoire) outside its set schedule.
April 1, 2023 at 11:23AM,Willy,GOING_HOME,Willy is returning to its charging station.
April 1, 2023 at 11:24AM,Willy,CHARGING,Willy is charging and will start again in less than a minute.
April 1, 2023 at 11:31AM,Willy,LEAVING,Willy is on its way to cut your grass.
April 1, 2023 at 11:37AM,Willy,MOWING_MISSION_AREA_OVERRIDING_SCHEDULE,Willy is mowing in Fond du jardin (balançoire) outside its set schedule.
April 1, 2023 at 12:44PM,Willy,GOING_HOME,Willy is returning to its charging station.
April 1, 2023 at 01:17PM,Willy,CHARGING,Willy is charging and will start again in less than a minute.
April 1, 2023 at 01:31PM,Willy,PARKED_OVERRIDING_SCHEDULE,Willy is parked and will start mowing in 1 hour.
April 1, 2023 at 01:54PM,Willy,LEAVING,Willy is on its way to cut your grass.
April 1, 2023 at 02:00PM,Willy,MOWING_MISSION_AREA_ACCORDING_TO_SCHEDULE,Willy is mowing in Fond du jardin (balançoire) according to schedule.
April 1, 2023 at 02:59PM,Willy,GOING_HOME,Willy is returning to its charging station.
April 1, 2023 at 03:27PM,Willy,PARKED_OVERRIDING_SCHEDULE,Willy is parked and will start mowing on Sunday at 9:00.
April 1, 2023 at 03:32PM,Willy,CHARGING,Willy is charging and will start again in less than a minute.
April 1, 2023 at 03:47PM,Willy,PARKED_OVERRIDING_SCHEDULE,Willy is parked and will start mowing on Sunday at 9:00.
April 1, 2023 at 09:57PM,Willy,PARKED_ACCORDING_TO_WEEK_SCHEDULE,Willy is parked and will start mowing on Sunday at 9:00.
April 1, 2023 at 11:58PM,Willy,CHARGING,Willy is charging and will start again in less than a minute.
April 1, 2023 at 11:58PM,Willy,PARKED_ACCORDING_TO_WEEK_SCHEDULE,Willy is parked and will start mowing on Sunday at 9:00.
April 2, 2023 at 01:58AM,Willy,CHARGING,Willy is charging and will start again in less than a minute.
April 2, 2023 at 01:58AM,Willy,PARKED_ACCORDING_TO_WEEK_SCHEDULE,Willy is parked and will start mowing at 9:00.
April 2, 2023 at 03:59AM,Willy,CHARGING,Willy is charging and will start again in less than a minute.
April 2, 2023 at 03:59AM,Willy,PARKED_ACCORDING_TO_WEEK_SCHEDULE,Willy is parked and will start mowing in 5 hours.
April 2, 2023 at 09:59AM,Willy,CHARGING,Willy is charging and will start again in less than a minute.
April 2, 2023 at 10:05AM,Willy,LEAVING,Willy is on its way to cut your grass.
April 2, 2023 at 10:08AM,Willy,MOWING_PRIMARY_AREA_ACCORDING_TO_SCHEDULE,Willy is mowing your lawn according to schedule.
April 2, 2023 at 11:15AM,Willy,GOING_HOME,Willy is returning to its charging station.
April 2, 2023 at 11:31AM,Willy,CHARGING,Willy is charging and will start again in less than a minute.
April 2, 2023 at 11:57AM,Willy,LEAVING,Willy is on its way to cut your grass.
April 2, 2023 at 12:01PM,Willy,MOWING_PRIMARY_AREA_ACCORDING_TO_SCHEDULE,Willy is mowing your lawn according to schedule.
April 2, 2023 at 01:03PM,Willy,GOING_HOME,Willy is returning to its charging station.
April 2, 2023 at 01:12PM,Willy,CHARGING,Willy is charging and will start again in less than a minute.
April 2, 2023 at 01:43PM,Willy,LEAVING,Willy is on its way to cut your grass.
April 2, 2023 at 01:43PM,Willy,MOWING_PRIMARY_AREA_ACCORDING_TO_SCHEDULE,Willy is mowing your lawn according to schedule.
April 2, 2023 at 02:51PM,Willy,GOING_HOME,Willy is returning to its charging station.
April 2, 2023 at 03:01PM,Willy,CHARGING,Willy is charging and will start again in less than a minute.
April 2, 2023 at 03:27PM,Willy,LEAVING,Willy is on its way to cut your grass.
April 2, 2023 at 03:27PM,Willy,MOWING_PRIMARY_AREA_ACCORDING_TO_SCHEDULE,Willy is mowing your lawn according to schedule.
April 2, 2023 at 04:32PM,Willy,GOING_HOME,Willy is returning to its charging station.
April 2, 2023 at 04:44PM,Willy,CHARGING,Willy is charging and will start again in less than a minute.
April 2, 2023 at 04:52PM,Willy,PARKED_OVERRIDING_SCHEDULE,Willy is parked and will start mowing on Monday at 9:00.
April 2, 2023 at 04:54PM,Willy,STOPPED,Willy has stopped and requires manual intervention.
April 2, 2023 at 05:00PM,Willy,CHARGING,Willy is charging and will start again in less than a minute.
April 2, 2023 at 05:15PM,Willy,LEAVING,Willy is on its way to cut your grass.
April 2, 2023 at 05:19PM,Willy,MOWING_PRIMARY_AREA_ACCORDING_TO_SCHEDULE,Willy is mowing your lawn according to schedule.
April 2, 2023 at 06:24PM,Willy,GOING_HOME,Willy is returning to its charging station.
April 2, 2023 at 06:34PM,Willy,CHARGING,Willy is charging and will start again in less than a minute.
April 2, 2023 at 06:43PM,Willy,PARKED_DUE_TO_WEATHER_TIMER,Willy has been parked by the weather timer feature and will start to mow again on Monday at 9:00.
April 2, 2023 at 11:05PM,Willy,CHARGING,Willy is charging and will start again in less than a minute.
April 2, 2023 at 11:05PM,Willy,PARKED_ACCORDING_TO_WEEK_SCHEDULE,Willy is parked and will start mowing on Monday at 9:00.
April 3, 2023 at 09:45AM,Willy,CHARGING,Willy is charging and will start again in less than a minute.
April 3, 2023 at 09:46AM,Willy,PARKED_UNTIL_FURTHER_NOTICE,Willy is parked until further notice.
April 3, 2023 at 09:46AM,Willy,CHARGING,Willy is charging and will start again in less than a minute.
April 3, 2023 at 09:50AM,Willy,LEAVING,Willy is on its way to cut your grass.
April 3, 2023 at 09:58AM,Willy,MOWING_MISSION_AREA_OVERRIDING_SCHEDULE,Willy is mowing in Bas (poissons rouge) outside its set schedule.
April 3, 2023 at 10:00AM,Willy,GOING_HOME,Willy is returning to its charging station.
April 3, 2023 at 10:46AM,Willy,CHARGING,Willy is charging and will start again in less than a minute.
April 3, 2023 at 11:06AM,Willy,LEAVING,Willy is on its way to cut your grass.
April 3, 2023 at 11:09AM,Willy,GOING_HOME,Willy is returning to its charging station.
April 3, 2023 at 11:20AM,Willy,LEAVING,Willy is on its way to cut your grass.
April 3, 2023 at 11:22AM,Willy,GOING_HOME,Willy is returning to its charging station.
April 3, 2023 at 11:34AM,Willy,ERROR,Willy can't operate as the work area is not valid.
April 6, 2023 at 04:04AM,Willy,DISCONNECTED,Willy has lost its connection. Either this is temporary and your mower will reconnect automatically or your mower has been switched off.